contrato,Nome,Proc_dnit,Proc_ipaam,Contratos,Lote,Supervisao,Operacao
01 00915/2020,Itapiranga,50013.000013/2020-60,01.01.030201.007352/2023-48,DAQ-185/2023,"LOTE 1 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00352/2021,Japurá,50013.000083/2020-18,01.01.030201.018855/2024-20,SR-352/2021,"LOTE 2 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00352/2021,Jutaí,50601.001674/2022-44,2322/T/05,SR-352/2021,"LOTE 2 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00916/2020,Lábrea,50013.000624/2019-74,736.2020,DAQ-186/2023,"LOTE 5 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00916/2020,Manacapuru,50013.000869/2019-00,01.01.030201.009769/2023-45,DAQ-186/2023,"LOTE 5 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00916/2020,Manaquiri,50013.000859/2019-66,01.01.030201.019423/2024-36,DAQ-186/2023,"LOTE 5 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00353/2021,Manicoré,50013.000676/2019-41,01.01.030201.020292/2024-30,SR-353/2021,"LOTE 3 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA,Antonelly Construções e Serviços LTDA
01 00915/2020,Maués,50013.000605/2019-48,01.01.030201.018091/2024-72,DAQ-185/2023,"LOTE 1 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00915/2020,Nhamundá,50013.000024/2020-40,01.01.030201.021712/2024-03,DAQ-185/2023,"LOTE 1 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00353/2021,Nova Olinda do Norte,50013.000180/2019-77,01.01.030201.021612/2024-79,SR-353/2021,"LOTE 3 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA,Antonelly Construções e Serviços LTDA
